property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
A la Pinte du Nord,0,No Rating available,"10th arr., Paris",2.6,1,Review score ,406,Triple Room,"2 beds (1 single, 1 double)",0,6.5,77,False,False
Plug inn Montmartre by Hiphophostels,1,No Rating available,"18th arr., Paris",3.4,1,Good ,930,Double Room,1 double bed,0,7.6,178,True,False
Panam Hotel GAMBETTA- Place Gambetta-Mairie du 20 emme,0,3,"20th arr., Paris",3.6,1,Review score ,201,Double Room,1 large double bed,1,6.6,121,False,False
Les Rebelles,1,3,"11th arr., Paris",2.5,0,Fabulous ,320,Quadruple Room,"2 beds (1 sofa bed, 1 large double)",1,8.8,180,False,False
New Hotel Saint Lazare,0,3,"8th arr., Paris",3.2,1,Review score ,698,Double Room,1 double bed,0,6.1,139,False,False
Arty Paris Porte de Versailles by River,0,No Rating available,"15th arr., Paris",4.4,1,Review score ,"2,975",Budget Double Room,1 double bed,0,5.9,86,False,False
Hôtel Saint Pierre,1,2,"6th arr., Paris",1.0,1,Good ,"1,791",Double Room,1 double bed,1,7.4,164,False,False
Maison Albar Hotels Le Diamond,1,5,"8th arr., Paris",2.9,1,Very good ,"1,077",Superior King Room,1 extra-large double bed,1,8.5,328,False,False
Urban Bivouac Hotel,1,3,"13th arr., Paris",3.5,1,Fabulous ,"1,314",Double Room,1 double bed,1,8.7,151,False,False
Hotel Bonaparte,1,3,"6th arr., Paris",1.5,1,Very good ,904,Classic Double Room,1 double bed,1,8.0,190,False,False
Excelsior Opera,1,3,"9th arr., Paris",2.2,1,Very good ,408,Double or Twin Room,Beds: 1 double or 2 singles,0,8.5,239,False,False
Le Rayz Vendome,1,4,"2nd arr., Paris",2.0,1,Fabulous ,"1,128",Studio,Entire studio • 1 bathroom • 1 kitchen • 26m²1 large double bed,0,8.7,330,True,False
Boutique Hôtel Konfidentiel,1,4,"1st arr., Paris",0.8,1,Very good ,177,Large Deluxe Room,Multiple bed types,0,8.4,185,False,False
Hotel Montalembert,1,5,"7th arr., Paris",1.7,1,Fabulous ,99,Superior Double Room,Beds: 1 double or 2 singles,1,8.6,539,False,False
Alba Opéra Hôtel,1,3,"9th arr., Paris",2.7,1,Very good ,421,Executive Double Room,Beds: 1 double or 2 singles,0,8.3,131,False,False
Brach Paris,1,5,"16th arr., Paris",5.6,1,Superb ,433,Superior Room,Beds: 1 double or 2 singles,1,9.0,698,False,False
"Le Dokhan's Paris Arc de Triomphe, a Tribute Portfolio Hotel",1,5,"16th arr., Paris",4.9,1,Good ,44,Classic Queen Room,1 large double bed,1,7.8,458,False,False
The 3 Ducks Eiffel Tower by Hiphophostels,1,No Rating available,"15th arr., Paris",4.6,1,Good ,862,Quadruple Room with Shower,4 bunk beds,1,7.6,217,False,False
Nuage,1,4,"8th arr., Paris",3.3,1,Superb ,162,Deluxe Double Room with Balcony,Multiple bed types,1,9.1,474,False,False
Cheval Blanc Paris & Dior Spa Cheval Blanc Paris,1,5,"1st arr., Paris",0.7,1,Exceptional ,157,Deluxe Room,1 extra-large double bed,0,9.5,1907,False,False
Le Bristol Paris - an Oetker Collection Hotel,1,5,"8th arr., Paris",3.2,1,Superb ,133,Executive Room,1 extra-large double bed,1,9.3,1891,True,False
Hôtel Delavigne,1,3,"6th arr., Paris",1.1,1,Fabulous ,"1,130",Double Room,1 double bed,0,8.9,229,False,False
Ibis Styles Paris Crimée La Villette,0,3,"19th arr., Paris",4.3,1,Review score ,621,Standard Double Room,1 large double bed,1,6.6,135,True,False
Maison Albar Hotels - Le Vendome,1,5,"9th arr., Paris",2.1,1,Fabulous ,328,Superior Twin Room,2 single beds,1,8.8,447,False,False
Platine Hotel,1,4,"15th arr., Paris",5.1,1,Very good ,711,Classic Double or Twin Room,Beds: 1 double or 2 singles,0,8.2,235,False,False
Novotel Paris 17,0,4,"17th arr., Paris",5.3,0,Good ,"1,377",Superior Room with Queen-size Bed and Double Sofa Bed,"2 beds (1 sofa bed, 1 large double)",1,7.8,257,False,False
Novotel Paris Les Halles,0,4,"1st arr., Paris",0.6,1,Fabulous ,"3,964",Superior Double Room with Sofabed,"2 beds (1 sofa bed, 1 large double)",1,8.6,417,False,False
